Ticket_ID,Created_Date,Created_Hour,Country,Day_Type,Priority,Source,Topic,Product_Group,Agent_Group,Agent,Status,First_Response_Min,Resolution_Hours,CSAT
TKT-6078,2025-06-08,11,Poland,Weekend,Medium,Phone,Bug report,Training services,Tier 2,I. Kowalski,Closed,9,10,3.7
TKT-6079,2025-07-13,18,Germany,Weekend,High,Chat,Pricing & licensing,Integrations,Tier 1,G. de Vries,Closed,22,21,4.4
TKT-6080,2025-08-18,1,Spain,Workday,Critical,Portal,Purchasing & invoicing,Other,Specialists,E. Müller,Closed,35,4,2.8
TKT-6081,2025-09-23,8,Netherlands,Workday,Low,Email,Product setup,Ready-to-use software,Tier 2,C. Chen,Closed,103,35,3.5
TKT-6082,2025-10-01,15,France,Workday,Medium,Phone,Feature request,Custom development,Tier 1,A. Khan,Closed,11,26,4.2
TKT-6083,2025-11-06,22,Italy,Workday,High,Chat,Bug report,Training services,Specialists,H. Martin,Closed,24,9,4.9
TKT-6084,2025-12-11,5,Netherlands,Workday,Critical,Portal,Pricing & licensing,Integrations,Tier 2,F. Rossi,Open,37,20,
TKT-6085,2025-01-16,12,France,Workday,Low,Email,Purchasing & invoicing,Other,Tier 1,D. Garcia,Open,50,3,
TKT-6086,2025-02-21,19,Italy,Workday,High,Phone,Product setup,Ready-to-use software,Specialists,B. Smith,Closed,13,34,4.7
TKT-6087,2025-03-26,2,Netherlands,Workday,Critical,Chat,Feature request,Custom development,Tier 2,I. Kowalski,Closed,26,25,3.1
TKT-6088,2025-04-04,9,France,Workday,Low,Portal,Bug report,Training services,Tier 1,G. de Vries,Closed,39,8,3.8
TKT-6089,2025-05-09,16,Belgium,Workday,Medium,Email,Pricing & licensing,Integrations,Specialists,E. Müller,Closed,107,19,4.5
TKT-6090,2025-06-14,23,Netherlands,Weekend,High,Phone,Purchasing & invoicing,Other,Tier 2,C. Chen,Closed,15,30,2.9
TKT-6091,2025-07-19,6,United Kingdom,Weekend,Critical,Chat,Product setup,Ready-to-use software,Tier 1,A. Khan,Closed,28,33,3.6
TKT-6092,2025-08-24,13,Switzerland,Weekend,Low,Portal,Feature request,Custom development,Specialists,H. Martin,Open,41,24,
TKT-6093,2025-09-02,20,Germany,Workday,Medium,Email,Bug report,Training services,Tier 2,F. Rossi,Open,54,7,
TKT-6094,2025-10-07,3,United Kingdom,Workday,High,Phone,Pricing & licensing,Integrations,Tier 1,D. Garcia,Closed,17,18,3.4
TKT-6095,2025-11-12,10,Austria,Workday,Critical,Chat,Purchasing & invoicing,Other,Specialists,B. Smith,Closed,30,29,4.1
TKT-6096,2025-12-17,17,Germany,Workday,Low,Portal,Product setup,Ready-to-use software,Tier 2,I. Kowalski,Closed,43,32,4.8
TKT-6097,2025-01-22,0,Spain,Workday,Medium,Email,Feature request,Custom development,Tier 1,G. de Vries,Closed,111,23,3.2
TKT-6098,2025-02-27,7,Poland,Workday,High,Phone,Bug report,Training services,Specialists,E. Müller,Closed,19,6,3.9
TKT-6099,2025-03-05,14,Germany,Workday,Critical,Chat,Pricing & licensing,Integrations,Tier 2,C. Chen,Closed,32,17,4.6
TKT-6100,2025-04-10,21,Spain,Workday,Low,Portal,Purchasing & invoicing,Other,Tier 1,A. Khan,Open,45,28,
TKT-6101,2025-05-15,4,Netherlands,Workday,Medium,Email,Product setup,Ready-to-use software,Specialists,H. Martin,Closed,8,31,3.7
TKT-6102,2025-06-20,11,France,Workday,High,Phone,Feature request,Custom development,Tier 2,F. Rossi,Closed,21,22,4.4
TKT-6103,2025-07-25,18,Italy,Workday,Low,Chat,Bug report,Training services,Tier 1,D. Garcia,Closed,34,5,2.8
TKT-6104,2025-08-03,1,Netherlands,Weekend,Medium,Portal,Pricing & licensing,Integrations,Specialists,B. Smith,Closed,47,16,3.5
TKT-6105,2025-09-08,8,France,Workday,High,Email,Purchasing & invoicing,Other,Tier 2,I. Kowalski,Closed,65,27,4.2
TKT-6106,2025-10-13,15,Italy,Workday,Critical,Phone,Product setup,Ready-to-use software,Tier 1,G. de Vries,Closed,23,30,4.9
TKT-6107,2025-11-18,22,Netherlands,Workday,Low,Chat,Feature request,Custom development,Specialists,E. Müller,Open,36,21,
TKT-6108,2025-12-23,5,France,Workday,Medium,Portal,Bug report,Training services,Tier 2,C. Chen,Open,49,4,
TKT-6109,2025-01-01,12,Belgium,Workday,High,Email,Pricing & licensing,Integrations,Tier 1,A. Khan,Closed,12,15,4.7
TKT-6110,2025-02-06,19,Netherlands,Workday,Critical,Phone,Purchasing & invoicing,Other,Specialists,H. Martin,Closed,25,26,3.1
TKT-6111,2025-03-11,2,United Kingdom,Workday,Low,Chat,Product setup,Ready-to-use software,Tier 2,F. Rossi,Closed,38,29,3.8
TKT-6112,2025-04-16,9,Switzerland,Workday,Medium,Portal,Feature request,Custom development,Tier 1,D. Garcia,Closed,51,20,4.5
TKT-6113,2025-05-21,16,Germany,Workday,High,Email,Bug report,Training services,Specialists,B. Smith,Closed,69,3,2.9
TKT-6114,2025-06-26,23,United Kingdom,Workday,Critical,Phone,Pricing & licensing,Integrations,Tier 2,I. Kowalski,Closed,27,14,3.6
TKT-6115,2025-07-04,6,Austria,Workday,Low,Chat,Purchasing & invoicing,Other,Tier 1,G. de Vries,Open,40,25,
TKT-6116,2025-08-09,13,Germany,Weekend,Medium,Portal,Product setup,Ready-to-use software,Specialists,E. Müller,Open,53,28,
TKT-6117,2025-09-14,20,Spain,Weekend,High,Email,Feature request,Custom development,Tier 2,C. Chen,Closed,16,19,3.4
TKT-6118,2025-10-19,3,Poland,Weekend,Critical,Phone,Bug report,Training services,Tier 1,A. Khan,Closed,29,30,4.1
TKT-6119,2025-11-24,10,Germany,Workday,Low,Chat,Pricing & licensing,Integrations,Specialists,H. Martin,Closed,42,13,4.8
TKT-6120,2025-12-02,17,Spain,Workday,High,Portal,Purchasing & invoicing,Other,Tier 2,F. Rossi,Closed,55,24,3.2
TKT-6121,2025-01-07,0,Netherlands,Workday,Critical,Email,Product setup,Ready-to-use software,Tier 1,D. Garcia,Closed,73,27,3.9
TKT-6122,2025-02-12,7,France,Workday,Low,Phone,Feature request,Custom development,Specialists,B. Smith,Closed,31,18,4.6
TKT-6123,2025-03-17,14,Italy,Workday,Medium,Chat,Bug report,Training services,Tier 2,I. Kowalski,Open,44,29,
TKT-6124,2025-04-22,21,Netherlands,Workday,High,Portal,Pricing & licensing,Integrations,Tier 1,G. de Vries,Open,57,12,
TKT-6125,2025-05-27,4,France,Workday,Critical,Email,Purchasing & invoicing,Other,Specialists,E. Müller,Closed,20,23,4.4
TKT-6126,2025-06-05,11,Italy,Workday,Low,Phone,Product setup,Ready-to-use software,Tier 2,C. Chen,Closed,33,26,2.8
TKT-6127,2025-07-10,18,Netherlands,Workday,Medium,Chat,Feature request,Custom development,Tier 1,A. Khan,Closed,46,17,3.5
TKT-6128,2025-08-15,1,France,Workday,High,Portal,Bug report,Training services,Specialists,H. Martin,Closed,9,28,4.2
TKT-6129,2025-09-20,8,Belgium,Weekend,Critical,Email,Pricing & licensing,Integrations,Tier 2,F. Rossi,Closed,77,11,4.9
TKT-6130,2025-10-25,15,Netherlands,Weekend,Low,Phone,Purchasing & invoicing,Other,Tier 1,D. Garcia,Closed,35,22,3.3
TKT-6131,2025-11-03,22,United Kingdom,Workday,Medium,Chat,Product setup,Ready-to-use software,Specialists,B. Smith,Open,48,25,
TKT-6132,2025-12-08,5,Switzerland,Workday,High,Portal,Feature request,Custom development,Tier 2,I. Kowalski,Closed,11,16,4.7
TKT-6133,2025-01-13,12,Germany,Workday,Critical,Email,Bug report,Training services,Tier 1,G. de Vries,Closed,24,27,3.1
TKT-6134,2025-02-18,19,United Kingdom,Workday,Low,Phone,Pricing & licensing,Integrations,Specialists,E. Müller,Closed,37,10,3.8
TKT-6135,2025-03-23,2,Austria,Weekend,Medium,Chat,Purchasing & invoicing,Other,Tier 2,C. Chen,Closed,50,21,4.5
TKT-6136,2025-04-01,9,Germany,Workday,High,Portal,Product setup,Ready-to-use software,Tier 1,A. Khan,Closed,13,24,2.9
TKT-6137,2025-05-06,16,Spain,Workday,Low,Email,Feature request,Custom development,Specialists,H. Martin,Closed,81,15,3.6
TKT-6138,2025-06-11,23,Poland,Workday,Medium,Phone,Bug report,Training services,Tier 2,F. Rossi,Open,39,26,
TKT-6139,2025-07-16,6,Germany,Workday,High,Chat,Pricing & licensing,Integrations,Tier 1,D. Garcia,Open,52,9,
TKT-6140,2025-08-21,13,Spain,Workday,Critical,Portal,Purchasing & invoicing,Other,Specialists,B. Smith,Closed,15,20,3.4
TKT-6141,2025-09-26,20,Netherlands,Workday,Low,Email,Product setup,Ready-to-use software,Tier 2,I. Kowalski,Closed,28,23,4.1
TKT-6142,2025-10-04,3,France,Weekend,Medium,Phone,Feature request,Custom development,Tier 1,G. de Vries,Closed,41,14,4.8
TKT-6143,2025-11-09,10,Italy,Weekend,High,Chat,Bug report,Training services,Specialists,E. Müller,Closed,54,25,3.2
TKT-6144,2025-12-14,17,Netherlands,Weekend,Critical,Portal,Pricing & licensing,Integrations,Tier 2,C. Chen,Closed,17,8,3.9
TKT-6145,2025-01-19,0,France,Weekend,Low,Email,Purchasing & invoicing,Other,Tier 1,A. Khan,Closed,85,19,4.6
TKT-6146,2025-02-24,7,Italy,Workday,Medium,Phone,Product setup,Ready-to-use software,Specialists,H. Martin,Open,43,50,
TKT-6147,2025-03-02,14,Netherlands,Weekend,High,Chat,Feature request,Custom development,Tier 2,F. Rossi,Open,56,13,
TKT-6148,2025-04-07,21,France,Workday,Critical,Portal,Bug report,Training services,Tier 1,D. Garcia,Closed,19,24,4.4
TKT-6149,2025-05-12,4,Belgium,Workday,Low,Email,Pricing & licensing,Integrations,Specialists,B. Smith,Closed,32,7,2.8
TKT-6150,2025-06-17,11,Netherlands,Workday,Medium,Phone,Purchasing & invoicing,Other,Tier 2,I. Kowalski,Closed,45,18,3.5
TKT-6151,2025-07-22,18,United Kingdom,Workday,High,Chat,Product setup,Ready-to-use software,Tier 1,G. de Vries,Closed,8,49,4.2
TKT-6152,2025-08-27,1,Switzerland,Workday,Critical,Portal,Feature request,Custom development,Specialists,E. Müller,Closed,21,12,4.9
TKT-6153,2025-09-05,8,Germany,Workday,Low,Email,Bug report,Training services,Tier 2,C. Chen,Closed,89,23,3.3
TKT-6154,2025-10-10,15,United Kingdom,Workday,High,Phone,Pricing & licensing,Integrations,Tier 1,A. Khan,Open,47,6,
TKT-6155,2025-11-15,22,Austria,Weekend,Critical,Chat,Purchasing & invoicing,Other,Specialists,H. Martin,Closed,10,17,4.7
TKT-6156,2025-12-20,5,Germany,Weekend,Low,Portal,Product setup,Ready-to-use software,Tier 2,F. Rossi,Closed,23,48,3.1
TKT-6157,2025-01-25,12,Spain,Weekend,Medium,Email,Feature request,Custom development,Tier 1,D. Garcia,Closed,36,11,3.8
TKT-6158,2025-02-03,19,Poland,Workday,High,Phone,Bug report,Training services,Specialists,B. Smith,Closed,49,22,4.5
TKT-6159,2025-03-08,2,Germany,Weekend,Critical,Chat,Pricing & licensing,Integrations,Tier 2,I. Kowalski,Closed,12,5,2.9
TKT-6160,2025-04-13,9,Spain,Weekend,Low,Portal,Purchasing & invoicing,Other,Tier 1,G. de Vries,Closed,25,16,3.6
TKT-6161,2025-05-18,16,Netherlands,Weekend,Medium,Email,Product setup,Ready-to-use software,Specialists,E. Müller,Open,93,47,
TKT-6162,2025-06-23,23,France,Workday,High,Phone,Feature request,Custom development,Tier 2,C. Chen,Open,51,10,
TKT-6163,2025-07-01,6,Italy,Workday,Critical,Chat,Bug report,Training services,Tier 1,A. Khan,Closed,14,21,3.4
TKT-6164,2025-08-06,13,Netherlands,Workday,Low,Portal,Pricing & licensing,Integrations,Specialists,H. Martin,Closed,27,4,4.1
TKT-6165,2025-09-11,20,France,Workday,Medium,Email,Purchasing & invoicing,Other,Tier 2,F. Rossi,Closed,40,15,4.8
TKT-6166,2025-10-16,3,Italy,Workday,High,Phone,Product setup,Ready-to-use software,Tier 1,D. Garcia,Closed,53,46,3.2
TKT-6167,2025-11-21,10,Netherlands,Workday,Critical,Chat,Feature request,Custom development,Specialists,B. Smith,Closed,16,9,3.9
TKT-6168,2025-12-26,17,France,Workday,Low,Portal,Bug report,Training services,Tier 2,I. Kowalski,Closed,29,20,4.6
TKT-6169,2025-01-04,0,Belgium,Weekend,Medium,Email,Pricing & licensing,Integrations,Tier 1,G. de Vries,Open,97,3,
TKT-6170,2025-02-09,7,Netherlands,Weekend,High,Phone,Purchasing & invoicing,Other,Specialists,E. Müller,Open,55,14,
TKT-6171,2025-03-14,14,United Kingdom,Workday,Low,Chat,Product setup,Ready-to-use software,Tier 2,C. Chen,Closed,18,45,4.4
TKT-6172,2025-04-19,21,Switzerland,Weekend,Medium,Portal,Feature request,Custom development,Tier 1,A. Khan,Closed,31,8,2.8
TKT-6173,2025-05-24,4,Germany,Weekend,High,Email,Bug report,Training services,Specialists,H. Martin,Closed,44,19,3.5
TKT-6174,2025-06-02,11,United Kingdom,Workday,Critical,Phone,Pricing & licensing,Integrations,Tier 2,F. Rossi,Closed,57,30,4.2
TKT-6175,2025-07-07,18,Austria,Workday,Low,Chat,Purchasing & invoicing,Other,Tier 1,D. Garcia,Closed,20,13,4.9
TKT-6176,2025-08-12,1,Germany,Workday,Medium,Portal,Product setup,Ready-to-use software,Specialists,B. Smith,Closed,33,44,3.3
TKT-6177,2025-09-17,8,Spain,Workday,High,Email,Feature request,Custom development,Tier 2,I. Kowalski,Open,101,7,
TKT-6178,2025-10-22,15,Poland,Workday,Critical,Phone,Bug report,Training services,Tier 1,G. de Vries,Closed,9,18,4.7
TKT-6179,2025-11-27,22,Germany,Workday,Low,Chat,Pricing & licensing,Integrations,Specialists,E. Müller,Closed,22,29,3.1
TKT-6180,2025-12-05,5,Spain,Workday,Medium,Portal,Purchasing & invoicing,Other,Tier 2,C. Chen,Closed,35,12,3.8
TKT-6181,2025-01-10,12,Netherlands,Workday,High,Email,Product setup,Ready-to-use software,Tier 1,A. Khan,Closed,48,43,4.5
TKT-6182,2025-02-15,19,France,Weekend,Critical,Phone,Feature request,Custom development,Specialists,H. Martin,Closed,11,6,2.9
TKT-6183,2025-03-20,2,Italy,Workday,Low,Chat,Bug report,Training services,Tier 2,F. Rossi,Closed,24,17,3.6
TKT-6184,2025-04-25,9,Netherlands,Workday,Medium,Portal,Pricing & licensing,Integrations,Tier 1,D. Garcia,Open,37,28,
TKT-6185,2025-05-03,16,France,Weekend,High,Email,Purchasing & invoicing,Other,Specialists,B. Smith,Open,105,11,
TKT-6186,2025-06-08,23,Italy,Weekend,Critical,Phone,Product setup,Ready-to-use software,Tier 2,I. Kowalski,Closed,13,42,3.4
TKT-6187,2025-07-13,6,Netherlands,Weekend,Low,Chat,Feature request,Custom development,Tier 1,G. de Vries,Closed,26,5,4.1
TKT-6188,2025-08-18,13,France,Workday,High,Portal,Bug report,Training services,Specialists,E. Müller,Closed,39,16,4.8
TKT-6189,2025-09-23,20,Belgium,Workday,Critical,Email,Pricing & licensing,Integrations,Tier 2,C. Chen,Closed,52,27,3.2
TKT-6190,2025-10-01,3,Netherlands,Workday,Low,Phone,Purchasing & invoicing,Other,Tier 1,A. Khan,Closed,15,10,3.9
TKT-6191,2025-11-06,10,United Kingdom,Workday,Medium,Chat,Product setup,Ready-to-use software,Specialists,H. Martin,Closed,28,41,4.6
TKT-6192,2025-12-11,17,Switzerland,Workday,High,Portal,Feature request,Custom development,Tier 2,F. Rossi,Open,41,4,
TKT-6193,2025-01-16,0,Germany,Workday,Critical,Email,Bug report,Training services,Tier 1,D. Garcia,Open,109,15,
TKT-6194,2025-02-21,7,United Kingdom,Workday,Low,Phone,Pricing & licensing,Integrations,Specialists,B. Smith,Closed,17,26,4.4
TKT-6195,2025-03-26,14,Austria,Workday,Medium,Chat,Purchasing & invoicing,Other,Tier 2,I. Kowalski,Closed,30,9,2.8
TKT-6196,2025-04-04,21,Germany,Workday,High,Portal,Product setup,Ready-to-use software,Tier 1,G. de Vries,Closed,43,40,3.5
TKT-6197,2025-05-09,4,Spain,Workday,Critical,Email,Feature request,Custom development,Specialists,E. Müller,Closed,56,3,4.2
TKT-6198,2025-06-14,11,Poland,Weekend,Low,Phone,Bug report,Training services,Tier 2,C. Chen,Closed,19,14,4.9
TKT-6199,2025-07-19,18,Germany,Weekend,Medium,Chat,Pricing & licensing,Integrations,Tier 1,A. Khan,Closed,32,25,3.3
TKT-6200,2025-08-24,1,Spain,Weekend,High,Portal,Purchasing & invoicing,Other,Specialists,H. Martin,Open,45,8,
TKT-6201,2025-09-02,8,Netherlands,Workday,Critical,Email,Product setup,Ready-to-use software,Tier 2,F. Rossi,Closed,63,39,4.7
TKT-6202,2025-10-07,15,France,Workday,Low,Phone,Feature request,Custom development,Tier 1,D. Garcia,Closed,21,30,3.1
TKT-6203,2025-11-12,22,Italy,Workday,Medium,Chat,Bug report,Training services,Specialists,B. Smith,Closed,34,13,3.8
TKT-6204,2025-12-17,5,Netherlands,Workday,High,Portal,Pricing & licensing,Integrations,Tier 2,I. Kowalski,Closed,47,24,4.5
TKT-6205,2025-01-22,12,France,Workday,Low,Email,Purchasing & invoicing,Other,Tier 1,G. de Vries,Closed,10,7,2.9
